id,category,carbs,calories,protein,fats,fiber,name,restaurant,alcohol,food_type,quantity,unit,old_quantity,show
3143,Other vegetables,9,40,1,0,0,"Beets,Cooked,Boiled. Drnd,W/Salt","",2,veg,100,gm,100,t
3144,Other vegetables,6,25,0,0,0,"Beets,Canned,No Salt,Sol&Liquids","",1,veg,100,gm,100,t
3145,Other vegetables,5,22,2,0,0,"Beet Grns,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3146,Condiments and Spices,3,29,2,0,0,"Borage,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3147,Pulses and Legumes,10,64,4,0,0,"Broadbeans,Immat Seeds,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3148,Leafy Vegetables,5,36,2,0,0,"Broccoli,Leaves,Raw","",0,veg,100,gm,100,t
3149,Other vegetables,5,36,2,0,0,"Broccoli,Flower Clusters,Raw","",0,veg,100,gm,100,t
3150,Other vegetables,5,36,2,0,0,"Broccoli,Stalks,Raw","",0,veg,100,gm,100,t
3151,Other vegetables,5,23,2,0,0,"Broccoli,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3152,Other vegetables,5,22,3,0,0,"Broccolifrozen,Chopd,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3153,Other vegetables,5,22,3,0,0,"Broccolifrozen,Spears,Cooked,Bld,Drnd,W/Salt","",3,veg,100,gm,100,t
3154,Leafy Vegetables,8,39,2,0,0,"Brussels Sprouts,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3155,Leafy Vegetables,8,34,3,0,0,"Brussels Sproutsfrozen,Cooked,Bld,Drnd,W/Salt","",4,veg,100,gm,100,t
3156,Other vegetables,21,87,2,0,0,"Burdock Root,Cooked,Bld,Drnd,W/Salt","",1,veg,100,gm,100,t
3157,Other vegetables,2,9,0,0,0,"Butterbur,Cooked,Bld,Drnd,W/Salt","",0,veg,100,gm,100,t
3158,Leafy Vegetables,5,18,1,0,0,"Cabbage,Commercialon,Freshly Harvest,Raw","",2,veg,100,gm,100,t
3159,Leafy Vegetables,5,18,1,0,0,"Cabbage,Commercialon (Danish,Domesticatedestic,&Pointed Types),Stored,Raw","",2,veg,100,gm,100,t
3160,Leafy Vegetables,4,14,1,0,0,"Cabbage,Commercialon,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3161,Leafy Vegetables,4,16,1,0,0,"Cabbage,Red,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
3162,Leafy Vegetables,5,18,1,0,0,"Cabbage,Savoy,Cooked,Bld,Drnd,W/Salt","",2,veg,100,gm,100,t
